county,request_type,request_method,number_of_requests
ALBA,other,online,1.0
ALBA,information,online,1385.0
ALBA,registration,online,1166.0
ALBA,reception,online,908.0
ARAD,other,online,0.0
ARAD,information,online,3916.0
ARAD,registration,online,1283.0
ARAD,reception,online,1480.0
ARGES,other,online,0.0
ARGES,information,online,2833.0
ARGES,registration,online,830.0
ARGES,reception,online,1366.0
BACAU,other,online,0.0
BACAU,information,online,1604.0
BACAU,registration,online,1195.0
BACAU,reception,online,1385.0
BIHOR,other,online,0.0
BIHOR,information,online,5830.0
BIHOR,registration,online,3536.0
BIHOR,reception,online,2057.0
BISTRITA NASAUD,other,online,0.0
BISTRITA NASAUD,information,online,666.0
BISTRITA NASAUD,registration,online,355.0
BISTRITA NASAUD,reception,online,774.0
BOTOSANI,other,online,0.0
BOTOSANI,information,online,1957.0
BOTOSANI,registration,online,1596.0
BOTOSANI,reception,online,1648.0
BRAILA,other,online,0.0
BRAILA,information,online,2660.0
BRAILA,registration,online,2294.0
BRAILA,reception,online,991.0
BRASOV,other,online,0.0
BRASOV,information,online,5292.0
BRASOV,registration,online,2469.0
BRASOV,reception,online,997.0
BUCURESTI,other,online,0.0
BUCURESTI,information,online,14145.0
BUCURESTI,registration,online,9178.0
BUCURESTI,reception,online,2086.0
BUZAU,other,online,0.0
BUZAU,information,online,2549.0
BUZAU,registration,online,1399.0
BUZAU,reception,online,1523.0
CALARASI,other,online,0.0
CALARASI,information,online,1843.0
CALARASI,registration,online,1244.0
CALARASI,reception,online,1039.0
CARAS SEVERIN,other,online,0.0
CARAS SEVERIN,information,online,1560.0
CARAS SEVERIN,registration,online,404.0
CARAS SEVERIN,reception,online,834.0
CLUJ,other,online,0.0
CLUJ,information,online,7303.0
CLUJ,registration,online,3797.0
CLUJ,reception,online,2264.0
CONSTANTA,other,online,0.0
CONSTANTA,information,online,7368.0
CONSTANTA,registration,online,3301.0
CONSTANTA,reception,online,2025.0
COVASNA,other,online,0.0
COVASNA,information,online,862.0
COVASNA,registration,online,716.0
COVASNA,reception,online,470.0
DAMBOVITA,other,online,0.0
DAMBOVITA,information,online,2095.0
DAMBOVITA,registration,online,1132.0
DAMBOVITA,reception,online,1176.0
DOLJ,other,online,0.0
DOLJ,information,online,5612.0
DOLJ,registration,online,2551.0
DOLJ,reception,online,2012.0
GALATI,other,online,0.0
GALATI,information,online,3472.0
GALATI,registration,online,1784.0
GALATI,reception,online,1456.0
GIURGIU,other,online,0.0
GIURGIU,information,online,1727.0
GIURGIU,registration,online,996.0
GIURGIU,reception,online,779.0
GORJ,other,online,0.0
GORJ,information,online,1613.0
GORJ,registration,online,945.0
GORJ,reception,online,1016.0
HARGHITA,other,online,0.0
HARGHITA,information,online,943.0
HARGHITA,registration,online,636.0
HARGHITA,reception,online,661.0
HUNEDOARA,other,online,0.0
HUNEDOARA,information,online,1741.0
HUNEDOARA,registration,online,1577.0
HUNEDOARA,reception,online,958.0
IALOMITA,other,online,0.0
IALOMITA,information,online,2314.0
IALOMITA,registration,online,1234.0
IALOMITA,reception,online,738.0
IASI,other,online,0.0
IASI,information,online,5714.0
IASI,registration,online,3287.0
IASI,reception,online,2127.0
ILFOV,other,online,0.0
ILFOV,information,online,9675.0
ILFOV,registration,online,4435.0
ILFOV,reception,online,1769.0
MARAMURES,other,online,0.0
MARAMURES,information,online,1727.0
MARAMURES,registration,online,1139.0
MARAMURES,reception,online,993.0
MEHEDINTI,other,online,0.0
MEHEDINTI,information,online,839.0
MEHEDINTI,registration,online,714.0
MEHEDINTI,reception,online,785.0
MURES,other,online,0.0
MURES,information,online,2246.0
MURES,registration,online,1211.0
MURES,reception,online,1137.0
NEAMT,other,online,0.0
NEAMT,information,online,1729.0
NEAMT,registration,online,1146.0
NEAMT,reception,online,1099.0
OLT,other,online,0.0
OLT,information,online,1594.0
OLT,registration,online,1078.0
OLT,reception,online,985.0
PRAHOVA,other,online,0.0
PRAHOVA,information,online,2650.0
PRAHOVA,registration,online,985.0
PRAHOVA,reception,online,1589.0
SALAJ,other,online,0.0
SALAJ,information,online,786.0
SALAJ,registration,online,605.0
SALAJ,reception,online,460.0
SATU MARE,other,online,0.0
SATU MARE,information,online,1707.0
SATU MARE,registration,online,1324.0
SATU MARE,reception,online,1061.0
SIBIU,other,online,0.0
SIBIU,information,online,3095.0
SIBIU,registration,online,1947.0
SIBIU,reception,online,1084.0
SUCEAVA,other,online,0.0
SUCEAVA,information,online,2738.0
SUCEAVA,registration,online,2246.0
SUCEAVA,reception,online,2100.0
TELEORMAN,other,online,0.0
TELEORMAN,information,online,803.0
TELEORMAN,registration,online,376.0
TELEORMAN,reception,online,962.0
TIMIS,other,online,0.0
TIMIS,information,online,10797.0
TIMIS,registration,online,2948.0
TIMIS,reception,online,2355.0
TULCEA,other,online,0.0
TULCEA,information,online,2276.0
TULCEA,registration,online,1348.0
TULCEA,reception,online,1038.0
VALCEA,other,online,0.0
VALCEA,information,online,1439.0
VALCEA,registration,online,756.0
VALCEA,reception,online,901.0
VASLUI,other,online,0.0
VASLUI,information,online,1544.0
VASLUI,registration,online,586.0
VASLUI,reception,online,718.0
VRANCEA,other,online,0.0
VRANCEA,information,online,1551.0
VRANCEA,registration,online,1148.0
VRANCEA,reception,online,1201.0
ALBA,other,window,0.0
ALBA,information,window,3188.0
ALBA,registration,window,668.0
ALBA,reception,window,63.0
ARAD,other,window,0.0
ARAD,information,window,5422.0
ARAD,registration,window,2722.0
ARAD,reception,window,122.0
ARGES,other,window,0.0
ARGES,information,window,2512.0
ARGES,registration,window,1956.0
ARGES,reception,window,210.0
BACAU,other,window,0.0
BACAU,information,window,5320.0
BACAU,registration,window,1542.0
BACAU,reception,window,108.0
BIHOR,other,window,0.0
BIHOR,information,window,4508.0
BIHOR,registration,window,1310.0
BIHOR,reception,window,598.0
BISTRITA NASAUD,other,window,0.0
BISTRITA NASAUD,information,window,4520.0
BISTRITA NASAUD,registration,window,1003.0
BISTRITA NASAUD,reception,window,64.0
BOTOSANI,other,window,0.0
BOTOSANI,information,window,3532.0
BOTOSANI,registration,window,508.0
BOTOSANI,reception,window,13.0
BRAILA,other,window,0.0
BRAILA,information,window,4140.0
BRAILA,registration,window,364.0
BRAILA,reception,window,66.0
BRASOV,other,window,0.0
BRASOV,information,window,5244.0
BRASOV,registration,window,1454.0
BRASOV,reception,window,132.0
BUCURESTI,other,window,0.0
BUCURESTI,information,window,7065.0
BUCURESTI,registration,window,4925.0
BUCURESTI,reception,window,46.0
BUZAU,other,window,0.0
BUZAU,information,window,1439.0
BUZAU,registration,window,725.0
BUZAU,reception,window,25.0
CALARASI,other,window,0.0
CALARASI,information,window,2965.0
