month_number,month,year,county,property_type,location_type,usage_type,quantity
4,april,2017,ALBA,plots,rural,agricultural,106
4,april,2017,ARAD,plots,rural,agricultural,438
4,april,2017,ARGES,plots,rural,agricultural,186
4,april,2017,BACAU,plots,rural,agricultural,125
4,april,2017,BIHOR,plots,rural,agricultural,295
4,april,2017,BISTRITA NASAUD,plots,rural,agricultural,97
4,april,2017,BOTOSANI,plots,rural,agricultural,391
4,april,2017,BRAILA,plots,rural,agricultural,583
4,april,2017,BRASOV,plots,rural,agricultural,93
4,april,2017,BUCURESTI,plots,rural,agricultural,0
4,april,2017,BUZAU,plots,rural,agricultural,343
4,april,2017,CALARASI,plots,rural,agricultural,329
4,april,2017,CARAS SEVERIN,plots,rural,agricultural,129
4,april,2017,CLUJ,plots,rural,agricultural,208
4,april,2017,CONSTANTA,plots,rural,agricultural,361
4,april,2017,COVASNA,plots,rural,agricultural,61
4,april,2017,DAMBOVITA,plots,rural,agricultural,236
4,april,2017,DOLJ,plots,rural,agricultural,469
4,april,2017,GALATI,plots,rural,agricultural,346
4,april,2017,GIURGIU,plots,rural,agricultural,223
4,april,2017,GORJ,plots,rural,agricultural,57
4,april,2017,HARGHITA,plots,rural,agricultural,78
4,april,2017,HUNEDOARA,plots,rural,agricultural,162
4,april,2017,IALOMITA,plots,rural,agricultural,391
4,april,2017,IASI,plots,rural,agricultural,300
4,april,2017,ILFOV,plots,rural,agricultural,112
4,april,2017,MARAMURES,plots,rural,agricultural,37
4,april,2017,MEHEDINTI,plots,rural,agricultural,229
4,april,2017,MURES,plots,rural,agricultural,115
4,april,2017,NEAMT,plots,rural,agricultural,140
4,april,2017,OLT,plots,rural,agricultural,269
4,april,2017,PRAHOVA,plots,rural,agricultural,141
4,april,2017,SALAJ,plots,rural,agricultural,48
4,april,2017,SATU MARE,plots,rural,agricultural,201
4,april,2017,SIBIU,plots,rural,agricultural,97
4,april,2017,SUCEAVA,plots,rural,agricultural,199
4,april,2017,TELEORMAN,plots,rural,agricultural,235
4,april,2017,TIMIS,plots,rural,agricultural,803
4,april,2017,TULCEA,plots,rural,agricultural,358
4,april,2017,VALCEA,plots,rural,agricultural,26
4,april,2017,VASLUI,plots,rural,agricultural,204
4,april,2017,VRANCEA,plots,rural,agricultural,309
4,april,2017,ALBA,plots,rural,non_agricultural,4
4,april,2017,ARAD,plots,rural,non_agricultural,8
4,april,2017,ARGES,plots,rural,non_agricultural,23
4,april,2017,BACAU,plots,rural,non_agricultural,4
4,april,2017,BIHOR,plots,rural,non_agricultural,7
4,april,2017,BISTRITA NASAUD,plots,rural,non_agricultural,1
4,april,2017,BOTOSANI,plots,rural,non_agricultural,2
4,april,2017,BRAILA,plots,rural,non_agricultural,8
4,april,2017,BRASOV,plots,rural,non_agricultural,0
4,april,2017,BUCURESTI,plots,rural,non_agricultural,0
4,april,2017,BUZAU,plots,rural,non_agricultural,3
4,april,2017,CALARASI,plots,rural,non_agricultural,1
4,april,2017,CARAS SEVERIN,plots,rural,non_agricultural,2
4,april,2017,CLUJ,plots,rural,non_agricultural,8
4,april,2017,CONSTANTA,plots,rural,non_agricultural,7
4,april,2017,COVASNA,plots,rural,non_agricultural,3
4,april,2017,DAMBOVITA,plots,rural,non_agricultural,5
4,april,2017,DOLJ,plots,rural,non_agricultural,3
4,april,2017,GALATI,plots,rural,non_agricultural,0
4,april,2017,GIURGIU,plots,rural,non_agricultural,3
4,april,2017,GORJ,plots,rural,non_agricultural,2
4,april,2017,HARGHITA,plots,rural,non_agricultural,15
4,april,2017,HUNEDOARA,plots,rural,non_agricultural,18
4,april,2017,IALOMITA,plots,rural,non_agricultural,0
4,april,2017,IASI,plots,rural,non_agricultural,6
4,april,2017,ILFOV,plots,rural,non_agricultural,26
4,april,2017,MARAMURES,plots,rural,non_agricultural,12
4,april,2017,MEHEDINTI,plots,rural,non_agricultural,4
4,april,2017,MURES,plots,rural,non_agricultural,5
4,april,2017,NEAMT,plots,rural,non_agricultural,13
4,april,2017,OLT,plots,rural,non_agricultural,4
4,april,2017,PRAHOVA,plots,rural,non_agricultural,0
4,april,2017,SALAJ,plots,rural,non_agricultural,12
4,april,2017,SATU MARE,plots,rural,non_agricultural,5
4,april,2017,SIBIU,plots,rural,non_agricultural,2
4,april,2017,SUCEAVA,plots,rural,non_agricultural,9
4,april,2017,TELEORMAN,plots,rural,non_agricultural,1
4,april,2017,TIMIS,plots,rural,non_agricultural,35
4,april,2017,TULCEA,plots,rural,non_agricultural,9
4,april,2017,VALCEA,plots,rural,non_agricultural,4
4,april,2017,VASLUI,plots,rural,non_agricultural,7
4,april,2017,VRANCEA,plots,rural,non_agricultural,17
4,april,2017,ALBA,plots,urban,with_construction,217
4,april,2017,ARAD,plots,urban,with_construction,311
4,april,2017,ARGES,plots,urban,with_construction,269
4,april,2017,BACAU,plots,urban,with_construction,217
4,april,2017,BIHOR,plots,urban,with_construction,291
4,april,2017,BISTRITA NASAUD,plots,urban,with_construction,170
4,april,2017,BOTOSANI,plots,urban,with_construction,123
4,april,2017,BRAILA,plots,urban,with_construction,90
4,april,2017,BRASOV,plots,urban,with_construction,510
4,april,2017,BUCURESTI,plots,urban,with_construction,1124
4,april,2017,BUZAU,plots,urban,with_construction,258
4,april,2017,CALARASI,plots,urban,with_construction,120
4,april,2017,CARAS SEVERIN,plots,urban,with_construction,60
4,april,2017,CLUJ,plots,urban,with_construction,887
4,april,2017,CONSTANTA,plots,urban,with_construction,659
4,april,2017,COVASNA,plots,urban,with_construction,87
4,april,2017,DAMBOVITA,plots,urban,with_construction,265
4,april,2017,DOLJ,plots,urban,with_construction,138
4,april,2017,GALATI,plots,urban,with_construction,135
4,april,2017,GIURGIU,plots,urban,with_construction,84
4,april,2017,GORJ,plots,urban,with_construction,101
4,april,2017,HARGHITA,plots,urban,with_construction,162
4,april,2017,HUNEDOARA,plots,urban,with_construction,141
4,april,2017,IALOMITA,plots,urban,with_construction,104
4,april,2017,IASI,plots,urban,with_construction,390
4,april,2017,ILFOV,plots,urban,with_construction,673
4,april,2017,MARAMURES,plots,urban,with_construction,214
4,april,2017,MEHEDINTI,plots,urban,with_construction,111
